"18510364","TOTAL","T","BG344",2014,-518
"18510365","TOTAL","T","BG41",2014,9016
"18510366","TOTAL","T","BG411",2014,9863
"18510367","TOTAL","T","BG412",2014,271
"18510368","TOTAL","T","BG413",2014,-594
"18510369","TOTAL","T","BG414",2014,53
"18510370","TOTAL","T","BG415",2014,-580
"18510371","TOTAL","T","BG42",2014,-2449
"18510372","TOTAL","T","BG421",2014,741
"18510373","TOTAL","T","BG422",2014,-610
"18510374","TOTAL","T","BG423",2014,-1255
"18510375","TOTAL","T","BG424",2014,-804
"18510376","TOTAL","T","BG425",2014,-516
"18510377","TOTAL","T","CH",2014,68099
"18510378","TOTAL","T","CH01",2014,16082
"18510379","TOTAL","T","CH011",2014,9395
"18510380","TOTAL","T","CH012",2014,3682
"18510381","TOTAL","T","CH013",2014,3010
"18510382","TOTAL","T","CH02",2014,12078
"18510383","TOTAL","T","CH021",2014,5248
"18510384","TOTAL","T","CH022",2014,4290
"18510385","TOTAL","T","CH023",2014,1423
"18510386","TOTAL","T","CH024",2014,801
"18510387","TOTAL","T","CH025",2014,307
"18510388","TOTAL","T","CH03",2014,8991
"18510389","TOTAL","T","CH031",2014,1490
"18510390","TOTAL","T","CH032",2014,1116
"18510391","TOTAL","T","CH033",2014,6373
"18510392","TOTAL","T","CH04",2014,13922
"18510393","TOTAL","T","CH040",2014,13922
"18510394","TOTAL","T","CH05",2014,7959
"18510395","TOTAL","T","CH051",2014,262
"18510396","TOTAL","T","CH052",2014,682
"18510397","TOTAL","T","CH053",2014,147
"18510398","TOTAL","T","CH054",2014,11
"18510399","TOTAL","T","CH055",2014,2891
"18510400","TOTAL","T","CH056",2014,1011
"18510401","TOTAL","T","CH057",2014,2937
"18510402","TOTAL","T","CH06",2014,5606
"18510403","TOTAL","T","CH061",2014,3156
"18510404","TOTAL","T","CH062",2014,104
"18510405","TOTAL","T","CH063",2014,1152
"18510406","TOTAL","T","CH064",2014,261
"18510407","TOTAL","T","CH065",2014,155
"18510408","TOTAL","T","CH066",2014,753
"18510409","TOTAL","T","CH07",2014,3473
"18510410","TOTAL","T","CH070",2014,3473
"18510411","TOTAL","T","CY",2014,-527
"18510412","TOTAL","T","CY00",2014,-527
"18510413","TOTAL","T","CY000",2014,-527
"18510414","TOTAL","T","CZ",2014,22846
"18510415","TOTAL","T","CZ01",2014,7333
"18510416","TOTAL","T","CZ010",2014,7333
"18510417","TOTAL","T","CZ02",2014,15019
"18510418","TOTAL","T","CZ020",2014,15019
"18510419","TOTAL","T","CZ03",2014,2590
"18510420","TOTAL","T","CZ031",2014,545
"18510421","TOTAL","T","CZ032",2014,2041
"18510422","TOTAL","T","CZ04",2014,-1217
"18510423","TOTAL","T","CZ041",2014,-861
"18510424","TOTAL","T","CZ042",2014,-356
"18510425","TOTAL","T","CZ05",2014,1017
"18510426","TOTAL","T","CZ051",2014,442
"18510427","TOTAL","T","CZ052",2014,-107
"18510428","TOTAL","T","CZ053",2014,673
