id,value
"DE25B",3.7
"DE25C",2
"DE26",0.7
"DE261",4.7
"DE262",-4.7
"DE263",-3.8
"DE264",-0.1
"DE265",0.3
"DE266",-3.6
"DE267",0.7
"DE268",4.5
"DE269",0.3
"DE26A",-3
"DE26B",6.5
"DE26C",4.2
"DE27",8.4
"DE271",16.4
"DE272",6.1
"DE273",8.9
"DE274",10.2
"DE275",6.7
"DE276",7.4
"DE277",3.7
"DE278",9.3
"DE279",7.2
"DE27A",5.7
"DE27B",8.3
"DE27C",8.9
"DE27D",6
"DE27E",3.3
"DE3",13.9
"DE30",13.9
"DE300",13.9
"DE4",3.5
"DE40",3.5
"DE401",0
"DE402",-1
"DE403",-6.4
"DE404",15.8
"DE405",7
"DE406",7.2
"DE407",-11
"DE408",9.9
"DE409",4
"DE40A",9.2
"DE40B",-8.3
"DE40C",5.5
"DE40D",-0.6
"DE40E",9.6
"DE40F",-5.7
"DE40G",-7.3
"DE40H",6.5
"DE40I",-4.1
"DE5",6.8
"DE50",6.8
"DE501",5.9
"DE502",11.7
"DE6",9.4
"DE60",9.4
"DE600",9.4
"DE7",8
"DE71",10.8
"DE711",14.2
"DE712",22.9
"DE713",14.9
"DE714",4.5
"DE715",5.7
"DE716",8.9
"DE717",13.5
"DE718",7.1
"DE719",6.5
"DE71A",8.5
"DE71B",-1.2
"DE71C",9.9
"DE71D",5.1
"DE71E",6.6
"DE72",5.7
"DE721",23.4
"DE722",0.4
"DE723",2.5
"DE724",-0.2
"DE725",-5.8
"DE73",1
"DE731",3.4
"DE732",4.7
"DE733",-2.2
"DE734",0.4
"DE735",0.2
"DE736",-0.9
"DE737",-1.5
"DE8",1.6
"DE80",1.6
"DE803",3.6
"DE804",6
"DE80J",-2.6
"DE80K",6.3
"DE80L",1.6
"DE80M",1
"DE80N",-2.1
"DE80O",3.1
"DE9",4.6
"DE91",3.1
"DE911",5.1
"DE912",7.8
"DE913",4.6
"DE914",6.2
"DE915",7.9
"DE916",-4.2
"DE917",5.3
"DE918",-5.6
"DE919",-7.7
"DE91A",3.5
"DE91B",1.1
"DE92",4.4
"DE922",5.4
"DE923",0.4
"DE925",0.1
"DE926",-6.1
"DE927",-1.8
"DE928",1.6
"DE929",7.6
"DE93",4.5
"DE931",3.4
"DE932",0.9
"DE933",9.5
"DE934",1.2
"DE935",7.9
"DE936",5.4
"DE937",3.3
"DE938",-0.4
"DE939",4.7
"DE93A",1.9
"DE93B",5.7
"DE94",5.9
"DE941",10.1
"DE942",4.5
"DE943",8.1
"DE944",3.7
"DE945",-2.6
"DE946",8.8
"DE947",5
"DE948",13.5
"DE949",6.6
"DE94A",-1.6
"DE94B",4.9
"DE94C",6.2
"DE94D",8.1
"DE94E",2.9
"DE94F",14.8
"DE94G",-0.7
"DE94H",2.5
"DEA",3.8
"DEA1",3.8
"DEA11",9.7
"DEA12",-2.9
"DEA13",6.8
"DEA14",2
"DEA15",5.6
"DEA16",2.8
"DEA17",0.9
"DEA18",0.5
"DEA19",6.4
"DEA1A",5.6
"DEA1B",7.5
"DEA1C",2.4
"DEA1D",4.3
"DEA1E",0.5
"DEA1F",0.5
"DEA2",6.6
"DEA22",8.5
"DEA23",12
"DEA24",4.5
"DEA26",2.7
"DEA27",6.2
"DEA28",3.8
"DEA29",4.3
"DEA2A",1.2
"DEA2B",3.8
"DEA2C",6
"DEA2D",4.7
"DEA3",2.5
"DEA31",-0.3
"DEA32",-0.8
"DEA33",8.2
"DEA34",2.5
"DEA35",3.3
"DEA36",-1.3
"DEA37",6.1
"DEA38",2.9
"DEA4",2.6
"DEA41",2.8
"DEA42",6
"DEA43",0.9
"DEA44",-0.1
"DEA45",-0.7
"DEA46",-0.5
"DEA47",8
"DEA5",1.7
"DEA51",0.4
"DEA52",7.9
"DEA53",3.9
"DEA54",3
"DEA55",1.2
"DEA56",0.6
"DEA57",-1.7
"DEA58",-5.8
"DEA59",-1.4
"DEA5A",3.6
"DEA5B",6
"DEA5C",0.4
"DEB",4.3
"DEB1",1.9
"DEB11",7.1
"DEB12",4.3
"DEB13",-1.1
"DEB14",4.2
"DEB15",-1
"DEB16",-18.5
"DEB17",3.1
"DEB18",-0.8
"DEB19",11.6
"DEB1A",0.9
"DEB1B",2.1
"DEB2",5.2
"DEB21",11.5
"DEB22",3.1
"DEB23",2.6
"DEB24",0.2
"DEB25",6.1
"DEB3",5.8
"DEB31",8.2
"DEB32",2.3
"DEB33",14.5
"DEB34",14.2
"DEB35",13.2
"DEB36",3.1
"DEB37",-1.4
"DEB38",2.3
"DEB39",8.9
"DEB3A",-2.1
"DEB3B",6.2
"DEB3C",3.7
"DEB3D",-3.1
"DEB3E",6.6
"DEB3F",1.6
"DEB3G",-3
"DEB3H",6.5
"DEB3I",6.6
"DEB3J",5.8
"DEB3K",-2
"DEC",-1.7
"DEC0",-1.7
"DEC01",-1.1
"DEC02",-1.4
"DEC03",-1.5
"DEC04",-1.8
"DEC05",-2.2
"DEC06",-3.4
"DED",2.2
"DED2",1.2
"DED21",10.4
"DED2C",-5.8
"DED2D",-7.6
"DED2E",0.1
"DED2F",0.1
"DED4",-3.8
"DED41",6.2
"DED42",-4.9
"DED43",-6
"DED44",-6.8
"DED45",-5.9
"DED5",12.8
"DED51",24
"DED52",0.2
"DED53",-1.5
"DEE",-4
"DEE0",-4
"DEE01",-6.7
"DEE02",3.9
"DEE03",5.5
"DEE04",-2.8
"DEE05",-10.6
"DEE06",-4
"DEE07",-0.7
"DEE08",-4.9
"DEE09",-6.5
"DEE0A",-8.4
"DEE0B",-6.3
"DEE0C",-9.9
"DEE0D",-7
"DEE0E",-5.6
"DEF",5.3
"DEF0",5.3
"DEF01",8.6
"DEF02",6.7
"DEF03",6.8
"DEF04",6.9
"DEF05",0.2
"DEF06",8.7
"DEF07",1.7
"DEF08",2.6
"DEF09",9.5
"DEF0A",1.8
"DEF0B",2.1
"DEF0C",2.3
"DEF0D",6.7
"DEF0E",1.5
"DEF0F",8.6
"DEG",-1.9
"DEG0",-1.9
"DEG01",6.5
"DEG02",-5.1
"DEG03",4.9
"DEG04",15.1
"DEG05",2.6
"DEG06",-2.2
"DEG07",-3.8
"DEG09",-3.1
"DEG0A",-6.6
"DEG0B",-4.1
"DEG0C",1.7
"DEG0D",-4.2
"DEG0E",-5.5
"DEG0F",-0.5
"DEG0G",-0.8
"DEG0H",-7.8
"DEG0I",-6
"DEG0J",-0.4
"DEG0K",-9.2
"DEG0L",-7.7
"DEG0M",-9.7
"DEG0N",7.6
"DEG0P",-3.6
"DK",5.8
"DK0",5.8
"DK01",10.6
"DK011",16
"DK012",8.9
"DK013",5.8
"DK014",-9.6
"DK02",4.6
"DK021",11.9
"DK022",1.6
"DK03",2.7
"DK031",3.8
"DK032",1.9
"DK04",4.1
"DK041",-0.1
"DK042",6.2
"DK05",2.7
"DK050",2.7
"EE",-1.9
"EE0",-1.9
"EE00",-1.9
"EE001",6.1
"EE004",-5.4
"EE006",-8.9
"EE007",-12.7
"EE008",-7.1
"EL",-6.3
"EL3",-10.6
"EL30",-10.6
"EL301",-8.5
"EL302",-12.4
"EL303",-24.9
"EL304",-8.4
"EL305",8
"EL306",7.8
"EL307",-13
"EL4",-0.2
"EL41",-4.5
"EL411",-5.1
"EL412",-6.5
"EL413",-1.6
"EL42",0.2
"EL421",1.1
"EL422",-1.3
"EL43",1
"EL431",1.4
"EL432",-2.6
"EL433",1.8
"EL434",1.5
"EL5",-4.9
"EL51",-2.8
"EL511",-0.4
"EL512",-0.9
"EL513",-3.3
"EL514",-3
"EL515",-6.6
"EL52",-5
"EL521",-3.5
"EL522",-5.9
"EL523",-5
"EL524",-4.8
"EL525",2.4
"EL526",-10.2
"EL527",1.3
"EL53",-8.2
"EL531",-8.6
"EL532",-10.1
"EL533",-5.1
"EL54",-5.6
"EL541",-8.5
"EL542",3.4
"EL543",-5.9
"EL6",-4.4
"EL61",-5.5
"EL611",-7.6
"EL612",-5.6
"EL613",-2.8
"EL62",-2.9
"EL621",-2.9
"EL622",-4.4
"EL623",-0.6
"EL624",-0.3
"EL63",-6.6
"EL631",-8
"EL632",-6.4
"EL633",-5.2
"EL64",-2.6
"EL641",0.1
"EL642",-4.3
"EL643",-10.2
"EL644",-3.4
"EL645",4.9
"EL65",-3
"EL651",-6.2
"EL652",0.3
"EL653",-2.5
"ES",-1.3
"ES1",-5.5
"ES11",-4.6
"ES111",-4.1
"ES112",-8.5
"ES113",-9.6
"ES114",-2.1
"ES12",-8.6
"ES120",-8.6
"ES13",-4
"ES130",-4
"ES2",-1.9
"ES21",-1
"ES211",2.4
"ES212",0.5
"ES213",-2.8
"ES22",-0.1
"ES220",-0.1
"ES23",-5.3
"ES230",-5.3
"ES24",-3.7
"ES241",-5.7
"ES242",-12.1
"ES243",-2
"ES3",1.1
"ES30",1.1
"ES300",1.1
"ES4",-6.2
"ES41",-7.1
"ES411",-9.5
"ES412",-6.5
"ES413",-8.7
"ES414",-9
"ES415",-7
"ES416",-7.5
"ES417",-9.2
"ES418",-2.4
"ES419",-12
"ES42",-6
"ES421",-4.4
"ES422",-7.6
"ES423",-10
"ES424",-2.7
"ES425",-5.8
"ES43",-4.4
"ES431",-3.7
"ES432",-5.5
"ES5",-2
"ES51",-2.6
"ES511",-2.4
"ES512",-3.7
"ES513",-3.5
"ES514",-2.7
"ES52",-3.4
"ES521",-4.6
"ES522",-6.5
"ES523",-1.8
"ES53",8.1
"ES531",20.3
"ES532",7.6
"ES533",-7.1
"ES6",1.3
"ES61",1.3
"ES611",3.3
"ES612",0.8
"ES613",-2.6
"ES614",-1.5
"ES615",1.4
"ES616",-6.1
"ES617",7.2
"ES618",1.3
"ES62",1.3
"ES620",1.3
"ES63",0.2
"ES630",0.2
"ES64",8.3
"ES640",8.3
"ES7",5.3
"ES70",5.3
"ES703",0.8
"ES704",22
"ES705",1.9
"ES706",1.8
"ES707",-6
"ES708",10.8
"ES709",6.9
"FI",3.8
"FI1",3.7
"FI19",2.1
"FI193",0.1
"FI194",-3
"FI195",4.3
"FI196",-2.6
"FI197",6.4
"FI1B",11.2
"FI1B1",11.2
"FI1C",-0.2
"FI1C1",3.9
"FI1C2",-0.7
"FI1C3",-2.1
"FI1C4",-5.5
"FI1C5",-3.7
"FI1D",-0.3
"FI1D1",-6.3
"FI1D2",-0.1
"FI1D3",-1.1
"FI1D4",-9
"FI1D5",2.3
"FI1D6",5.2
"FI1D7",-4.2
"FI2",8.7
"FI20",8.7
"FI200",8.7
"FR",4.8
"FR1",5.1
"FR10",5.1
"FR101",-4.3
"FR102",9.6
"FR103",1.7
"FR104",11.6
"FR105",3.4
"FR106",9.4
"FR107",8.3
"FR108",7.1
"FR2",1.4
"FR21",0.6
"FR211",-4.3
"FR212",3.9
"FR213",2.6
"FR214",-3.3
"FR22",1.8
"FR221",-1.3
"FR222",5.3
"FR223",-0.2
"FR23",2.4
"FR231",5
"FR232",1.2
"FR24",2.4
"FR241",-1.5
"FR242",2.6
"FR243",-6.3
"FR244",5.7
"FR245",1.9
"FR246",4.3
"FR25",0.4
"FR251",2.6
"FR252",-0.2
"FR253",-4.3
"FR26",0
"FR261",3.7
"FR262",-7.8
"FR263",-0.2
"FR264",-0.8
"FR3",2.8
"FR30",2.8
"FR301",3.1
"FR302",2.3
"FR4",0.9
"FR41",-1.4
"FR411",-0.6
"FR412",-4.1
"FR413",-0.1
"FR414",-5.1
"FR42",3.7
"FR421",4.2
"FR422",3.1
"FR43",1
"FR431",3.1
"FR432",-0.8
"FR433",-2.4
"FR434",2
"FR5",6.2
"FR51",7.8
"FR511",12.3
"FR512",6.1
"FR513",-0.4
"FR514",1.9
"FR515",9.6
"FR52",5.7
"FR521",1.3
"FR522",2.1
"FR523",11
"FR524",6
"FR53",3.7
"FR531",1.3
"FR532",5.9
"FR533",2
"FR534",3.9
"FR6",7.6
"FR61",8.7
"FR611",0.5
"FR612",13.6
"FR613",9.6
"FR614",2
"FR615",5.3
"FR62",8.5
"FR621",0.3
"FR622",3.7
"FR623",14.6
"FR624",3.1
"FR625",-2.6
"FR626",-0.2
"FR627",5.7
"FR628",10
"FR63",-1.3
"FR631",-1.4
"FR632",-5.7
"FR633",0.2
"FR7",8
"FR71",9.2
"FR711",11.8
"FR712",5.1
"FR713",7.3
"FR714",7.5
"FR715",3.5
"FR716",11
"FR717",6.3
"FR718",15.4
"FR72",2.6
"FR721",0.6
"FR722",-2.4
"FR723",2.4
"FR724",4.8
"FR8",6.5
"FR81",9.6
"FR811",4.5
"FR812",7.7
"FR813",13.5
"FR814",-3.5
"FR815",9.6
"FR82",4.5
"FR821",0.2
"FR822",2.4
"FR823",0.6
"FR824",5.1
"FR825",8.2
"FR826",4.6
"FR83",9.7
"FR831",12.3
"FR832",7.4
"FRA",NA
"FRA1",-6.4
"FRA10",-6.4
"FRA2",-9.1
"FRA20",-9.1
"FRA3",19.7
"FRA30",19.7
"FRA4",5
"FRA40",5
"FRA5",NA
"FRA50",NA
"HR",-5.1
"HR0",-5.1
"HR03",-2.6
"HR031",-3.8
"HR032",-17
"HR033",-3.9
"HR034",-7.4
"HR035",-1.8
"HR036",1.8
"HR037",1.3
"HR04",-6.3
"HR041",3.9
"HR042",-2.5
"HR043",-7.4
"HR044",-6.9
"HR045",-9.4
"HR046",-3.8
"HR047",-11.7
"HR048",-13.6
"HR049",-13.3
"HR04A",-14
"HR04B",-10.2
"HR04C",-18.5
"HR04D",-14.7
"HR04E",-17.2
"HU",-2.2
"HU1",6.2
"HU10",6.2
"HU101",7.4
"HU102",4.4
"HU2",-5
"HU21",-5.4
"HU211",-4.4
"HU212",-5.2
"HU213",-6.8
"HU22",-0.6
"HU221",5.1
"HU222",-2.3
"HU223",-8.4
"HU23",-9.2
"HU231",-7.7
"HU232",-10.9
"HU233",-9.1
"HU3",-6.5
"HU31",-10.3
"HU311",-11
"HU312",-7.3
"HU313",-12.5
"HU32",-3.3
"HU321",-4.2
"HU322",-9.4
"HU323",1.7
"HU33",-6.6
"HU331",-6.2
"HU332",-11.5
"HU333",-2.9
"IE",5.1
"IE0",5.1
"IE01",-5.2
"IE011",-14.7
"IE012",8.2
"IE013",-3.2
"IE02",8.8
"IE021",20.3
"IE022",8.9
"IE023",-0.5
"IE024",2.6
"IE025",-3.4
"IS",10.5
"IS0",10.5
"IS00",10.5
"IS001",12
"IS002",7.7
"IT",0.2
"ITC",0.5
"ITC1",-2.8
"ITC11",-2.7
"ITC12",-5.6
"ITC13",-6.8
"ITC14",-3.3
"ITC15",-0.7
"ITC16",-0.5
"ITC17",-3.2
"ITC18",-4.9
"ITC2",-2.3
"ITC20",-2.3
"ITC3",-5.5
"ITC31",-4.1
"ITC32",-4.3
"ITC33",-6.8
"ITC34",-3.2
"ITC4",2.9
"ITC41",2.5
"ITC42",1.8
"ITC43",-1.7
"ITC44",-2.2
"ITC46",1.3
"ITC47",2.2
"ITC48",0.7
"ITC49",2.2
"ITC4A",-1.5
"ITC4B",-0.5
"ITC4C",6.5
"ITC4D",2.2
"ITF",-1.3
"ITF1",-1.8
"ITF11",-5.9
"ITF12",0.2
"ITF13",1.1
"ITF14",-2.5
"ITF2",-4.4
"ITF21",-4.8
"ITF22",-4.2
"ITF3",-1.4
"ITF31",1.6
"ITF32",-5.1
"ITF33",-3
"ITF34",-5.3
"ITF35",2.7
"ITF4",0
"ITF43",-3.2
"ITF44",-2.3
"ITF45",-1
"ITF46",-2.4
"ITF47",3.5
"ITF48",1.6
"ITF5",-3.1
"ITF51",-5.2
"ITF52",0.9
"ITF6",-2
"ITF61",-2.5
"ITF62",1.5
"ITF63",-0.7
"ITF64",-1.9
"ITF65",-3.2
"ITG",-0.5
"ITG1",-0.6
"ITG11",0.3
"ITG12",0.7
"ITG13",-4.8
"ITG14",-2.4
"ITG15",-2.6
"ITG16",-7.4
"ITG17",1.1
"ITG18",2.3
"ITG19",0.7
"ITG2",-0.3
"ITG25",-1.1
"ITG26",-3.6
"ITG27",2
"ITG28",-5.3
"ITG29",9
"ITG2A",-1
"ITG2B",-5.3
"ITG2C",-5.4
"ITH",0.6
"ITH1",5.4
"ITH10",5.4
"ITH2",2.2
"ITH20",2.2
"ITH3",0.2
"ITH31",2.1
"ITH32",-0.1
"ITH33",-7.4
"ITH34",-0.5
"ITH35",0.4
"ITH36",2.2
"ITH37",-6.3
"ITH4",-1.8
"ITH41",-2.1
"ITH42",-3.3
"ITH43",-1.3
"ITH44",1.6
"ITH5",0.9
"ITH51",-1.6
"ITH52",5
"ITH53",-1.9
"ITH54",2.1
"ITH55",3.1
"ITH56",-2.9
"ITH57",-0.9
"ITH58",-1.9
"ITH59",2.8
"ITI",1.6
"ITI1",0.6
"ITI11",-4.6
"ITI12",-2.8
"ITI13",2.5
"ITI14",4.9
"ITI15",-1
"ITI16",-4.1
"ITI17",3.7
"ITI18",-0.6
"ITI19",-2
"ITI1A",-2.7
"ITI2",-2.2
"ITI21",-1.6
"ITI22",-4
"ITI3",-1.5
"ITI31",-2.8
"ITI32",-2.9
"ITI33",1.8
"ITI34",-2.3
"ITI35",-0.2
"ITI4",3.7
"ITI41",-0.7
"ITI42",-4.3
"ITI43",4.8
"ITI44",4.9
"ITI45",-1.4
"LI",6.4
"LI0",6.4
"LI00",6.4
"LI000",6.4
"LT",-7.6
"LT0",-7.6
"LT00",-7.6
"LT001",-13.7
"LT002",-7.2
"LT003",-5.2
"LT004",-15
"LT005",-14.1
"LT006",-14.6
"LT007",-14.8
"LT008",-13.6
"LT009",-16.9
"LT00A",1.8
"LU",23.9
"LU0",23.9
"LU00",23.9
"LU000",23.9
"LV",-7.7
"LV0",-7.7
"LV00",-7.7
"LV003",-12.9
"LV005",-16.4
"LV006",-3.7
"LV007",1.6
"LV008",-14.4
"LV009",-11.2
"ME",0.9
"ME0",0.9
"ME00",0.9
"ME000",0.9
"MK",1.6
"MK0",1.7
"MK00",1.7
"MK001",-1
"MK002",-3.2
"MK003",-0.6
"MK004",0.6
"MK005",-2.6
"MK006",3.4
"MK007",1.8
"MK008",5.5
"MT",9.3
"MT0",9.3
"MT00",9.3
"MT001",9.6
"MT002",4.6
"NL",4.2
"NL1",0.4
"NL11",2.1
"NL111",0.1
"NL112",-8.3
"NL113",4.1
"NL12",-0.1
"NL121",-0.8
"NL122",-1
"NL123",1.5
"NL13",-0.8
"NL131",-0.7
"NL132",-3.8
"NL133",2.7
"NL2",2.7
"NL21",0.8
"NL211",2.6
"NL212",2.4
"NL213",-0.6
"NL22",3.4
"NL221",5.8
"NL224",2
"NL225",-2.3
"NL226",4.8
"NL23",4.7
"NL230",4.7
"NL3",6.7
"NL31",7.9
"NL310",7.9
"NL32",7.5
"NL321",1.3
"NL322",3.1
"NL323",1.1
"NL324",8.7
"NL325",4.7
"NL326",11.4
"NL327",5.6
"NL33",6.4
"NL332",9.3
"NL333",10.3
"NL337",4.8
"NL338",4.9
"NL339",6
"NL33A",2.3
"NL34",0.3
"NL341",-2.2
"NL342",1.2
"NL4",2.1
"NL41",3.8
"NL411",2.9
"NL412",3.1
"NL413",3.1
"NL414",5.6
"NL42",-1.8
"NL421",0.1
"NL422",0.1
"NL423",-3.5
"NO",11.4
"NO0",11.4
"NO01",18.7
"NO011",21.2
"NO012",16
"NO02",4.6
"NO021",3.8
"NO022",5.3
"NO03",7.5
"NO031",8
"NO032",9.4
"NO033",7.8
"NO034",3
"NO04",13.7
"NO041",9.2
"NO042",13.5
"NO043",14.9
"NO05",10
"NO051",12.4
"NO052",2.3
"NO053",8.7
"NO06",10.5
"NO061",13.1
"NO062",4.6
"NO07",5.7
"NO071",3.5
"NO072",9.3
"NO073",5.3
"PL",-0.3
"PL1",1.1
"PL11",-3.6
"PL113",-8
"PL114",1.8
"PL115",-2.3
"PL116",-2.9
"PL117",-3.8
"PL12",3.2
"PL127",6.7
"PL128",-3.5
"PL129",7
"PL12A",7.1
"PL12B",-3.1
"PL12C",-2.7
"PL12D",-2
"PL12E",-2.2
"PL2",-0.5
"PL21",2.6
"PL213",4
"PL214",5.9
"PL217",0.5
"PL218",2.5
"PL219",1.4
"PL21A",-1.4
"PL22",-2.7
"PL224",-3.8
"PL225",1.1
"PL227",-0.7
"PL228",-3.5
"PL229",-4.7
"PL22A",-5.4
"PL22B",-5.6
"PL22C",2.4
"PL3",-2.3
"PL31",-3.8
"PL311",-4.3
"PL312",-5.5
"PL314",-1.4
"PL315",-4.8
"PL32",0.3
"PL323",-0.6
"PL324",-2.4
"PL325",3.7
"PL326",-0.5
"PL33",-4.1
"PL331",-3.5
"PL332",-5
"PL34",-2.6
"PL343",0.5
"PL344",-5.8
"PL345",-3.9
"PL4",0.4
"PL41",1.8
"PL411",-1.3
"PL414",-0.4
"PL415",-2.7
"PL416",-0.1
"PL417",1.9
"PL418",12.1
"PL42",-1.7
"PL424",-1.3
"PL426",-2.6
"PL427",-4.4
"PL428",0.8
"PL43",-1.1
"PL431",-0.6
"PL432",-1.5
"PL5",-1.2
"PL51",-0.4
"PL514",4.3
"PL515",-5.1
"PL516",-1.8
"PL517",-6.3
"PL518",6.9
"PL52",-3.5
"PL523",-4.1
"PL524",-3
"PL6",0.3
"PL61",-1.2
"PL613",0.8
"PL616",-1.3
"PL617",-2.3
"PL618",-0.3
"PL619",-4.9
"PL62",-1.9
"PL621",-3.3
"PL622",-1.4
"PL623",-0.5
"PL63",3
"PL633",0.3
"PL634",12.2
"PL636",-0.2
"PL637",0
